11, 0, 1
12, 0, 1
13, 0, 1
14, 0, 1
15, 0, 1
16, 0, 1
55, 0, 1
56, 0, 1
57, 0, 1
58, 0, 1
59, 0, 1
60, 0, 1
11, 0, 2
12, 0, 2
13, 0, 2
14, 0, 2
15, 0, 2
16, 0, 2
55, 0, 2
56, 0, 2
57, 0, 2
58, 0, 2
59, 0, 2
60, 0, 2
11, 0, 3
12, 0, 3
13, 0, 3
14, 0, 3
15, 0, 3
16, 0, 3
55, 0, 3
56, 0, 3
57, 0, 3
58, 0, 3
59, 0, 3
60, 0, 3
11, 0, 4
12, 0, 4
13, 0, 4
14, 0, 4
15, 0, 4
16, 0, 4
55, 0, 4
56, 0, 4
57, 0, 4
58, 0, 4
59, 0, 4
60, 0, 4
11, 0, 27
12, 0, 27
13, 0, 27
14, 0, 27
15, 0, 27
16, 0, 27
55, 0, 27
56, 0, 27
57, 0, 27
58, 0, 27
59, 0, 27
60, 0, 27
11, 0, 28
12, 0, 28
13, 0, 28
14, 0, 28
15, 0, 28
16, 0, 28
55, 0, 28
56, 0, 28
57, 0, 28
58, 0, 28
59, 0, 28
60, 0, 28
11, 0, 29
12, 0, 29
13, 0, 29
14, 0, 29
15, 0, 29
16, 0, 29
55, 0, 29
56, 0, 29
57, 0, 29
58, 0, 29
59, 0, 29
60, 0, 29
11, 0, 30
12, 0, 30
13, 0, 30
14, 0, 30
15, 0, 30
16, 0, 30
55, 0, 30
56, 0, 30
57, 0, 30
58, 0, 30
59, 0, 30
60, 0, 30
9, 1, 1
10, 1, 1
11, 1, 1
12, 1, 1
13, 1, 1
14, 1, 1
15, 1, 1
16, 1, 1
17, 1, 1
18, 1, 1
53, 1, 1
54, 1, 1
55, 1, 1
56, 1, 1
57, 1, 1
58, 1, 1
59, 1, 1
60, 1, 1
61, 1, 1
9, 1, 2
10, 1, 2
11, 1, 2
12, 1, 2
13, 1, 2
14, 1, 2
15, 1, 2
16, 1, 2
17, 1, 2
18, 1, 2
53, 1, 2
54, 1, 2
55, 1, 2
56, 1, 2
57, 1, 2
58, 1, 2
59, 1, 2
60, 1, 2
61, 1, 2
9, 1, 3
10, 1, 3
11, 1, 3
12, 1, 3
13, 1, 3
14, 1, 3
15, 1, 3
16, 1, 3
17, 1, 3
18, 1, 3
53, 1, 3
54, 1, 3
55, 1, 3
56, 1, 3
57, 1, 3
58, 1, 3
59, 1, 3
60, 1, 3
61, 1, 3
9, 1, 4
10, 1, 4
11, 1, 4
12, 1, 4
13, 1, 4
14, 1, 4
15, 1, 4
16, 1, 4
17, 1, 4
18, 1, 4
53, 1, 4
54, 1, 4
55, 1, 4
56, 1, 4
57, 1, 4
58, 1, 4
59, 1, 4
60, 1, 4
61, 1, 4
9, 1, 27
10, 1, 27
11, 1, 27
12, 1, 27
13, 1, 27
14, 1, 27
15, 1, 27
16, 1, 27
17, 1, 27
18, 1, 27
53, 1, 27
54, 1, 27
55, 1, 27
56, 1, 27
57, 1, 27
58, 1, 27
59, 1, 27
60, 1, 27
61, 1, 27
9, 1, 28
10, 1, 28
11, 1, 28
12, 1, 28
13, 1, 28
14, 1, 28
15, 1, 28
16, 1, 28
17, 1, 28
18, 1, 28
53, 1, 28
54, 1, 28
55, 1, 28
56, 1, 28
57, 1, 28
58, 1, 28
59, 1, 28
60, 1, 28
61, 1, 28
9, 1, 29
10, 1, 29
11, 1, 29
12, 1, 29
13, 1, 29
14, 1, 29
15, 1, 29
16, 1, 29
17, 1, 29
18, 1, 29
53, 1, 29
54, 1, 29
55, 1, 29
56, 1, 29
57, 1, 29
58, 1, 29
59, 1, 29
60, 1, 29
61, 1, 29
9, 1, 30
10, 1, 30
11, 1, 30
12, 1, 30
13, 1, 30
14, 1, 30
15, 1, 30
16, 1, 30
17, 1, 30
18, 1, 30
53, 1, 30
54, 1, 30
55, 1, 30
56, 1, 30
57, 1, 30
58, 1, 30
59, 1, 30
60, 1, 30
61, 1, 30
8, 2, 1
9, 2, 1
10, 2, 1
11, 2, 1
12, 2, 1
13, 2, 1
14, 2, 1
15, 2, 1
16, 2, 1
17, 2, 1
18, 2, 1
52, 2, 1
53, 2, 1
54, 2, 1
55, 2, 1
56, 2, 1
57, 2, 1
58, 2, 1
59, 2, 1
60, 2, 1
61, 2, 1
62, 2, 1
8, 2, 2
9, 2, 2
10, 2, 2
11, 2, 2
12, 2, 2
13, 2, 2
14, 2, 2
15, 2, 2
16, 2, 2
17, 2, 2
18, 2, 2
52, 2, 2
53, 2, 2
54, 2, 2
55, 2, 2
56, 2, 2
57, 2, 2
58, 2, 2
59, 2, 2
60, 2, 2
61, 2, 2
62, 2, 2
8, 2, 3
9, 2, 3
10, 2, 3
11, 2, 3
12, 2, 3
13, 2, 3
14, 2, 3
15, 2, 3
16, 2, 3
17, 2, 3
18, 2, 3
52, 2, 3
53, 2, 3
54, 2, 3
55, 2, 3
56, 2, 3
57, 2, 3
58, 2, 3
59, 2, 3
60, 2, 3
61, 2, 3
62, 2, 3
8, 2, 4
9, 2, 4
10, 2, 4
11, 2, 4
12, 2, 4
13, 2, 4
14, 2, 4
15, 2, 4
16, 2, 4
17, 2, 4
18, 2, 4
52, 2, 4
53, 2, 4
54, 2, 4
55, 2, 4
56, 2, 4
57, 2, 4
58, 2, 4
59, 2, 4
60, 2, 4
61, 2, 4
62, 2, 4
8, 2, 27
9, 2, 27
10, 2, 27
11, 2, 27
12, 2, 27
